Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.8031E-15,1.512E-16,1.2984,0,0,0,21.211,0.59044,9.5223E-16,-8.1947E-16,0.32027,-2.4854E-17,0.35359,0,0,0,0,0,0,package://humanoid/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/base_link.STL,,frame(torso)-1,world_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hd_link,6.163E-33,-2.6872E-18,-0.010583,0,0,0,2.6062,0.0090144,-5.6248E-36,1.8808E-34,0.0090144,-7.0394E-20,0.006936,0,0,0,0,0,0,package://humanoid/meshes/hd_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/hd_link.STL,,Head-1,hd_F,nck_ax,hd_joint,revolute,0,0,1.5433,0,0,1.5708,base_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
ldr_link,-6.163E-33,-5.8746E-19,0,0,0,0,0.01287,1.2109E-06,3.729E-41,-3.8729E-39,1.2109E-06,-5.9247E-37,1.0379E-06,0,0,0,0,0,0,package://humanoid/meshes/ldr_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/ldr_link.STL,,lidar-1,ldr_F,,ldr_joint,fixed,0,0,0.0762,0,0,0,hd_link,0,0,0,,,,,,,,,,,,
r_shldr_1_link,-7.718E-06,-1.114E-18,-0.027669,0,0,0,0.35613,0.00074567,-2.0209E-21,-1.8635E-07,0.00076353,-8.8871E-21,0.00014594,0,0,0,0,0,0,package://humanoid/meshes/r_shldr_1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/r_shldr_1_link.STL,,Shouler_Joint-1,r_shldr_1_F,r_shldr_1_ax,r_shldr_1_joint,revolute,0,-0.2286,1.3655,0,0,1.5708,base_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
r_shldr_2_link,1.9512E-14,-0.084667,-1.4962E-17,0,0,0,0.6963,0.0021474,-7.5583E-20,4.6213E-21,0.00053267,-3.5916E-21,0.0021116,0,0,0,0,0,0,package://humanoid/meshes/r_shldr_2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/r_shldr_2_link.STL,,upper_arm-2,r_shldr_2_F,r_shldr_2_ax,r_shldr_2_joint,revolute,0.00024399,0.0015837,-0.095467,1.5708,0,0,r_shldr_1_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
r_elb_1_link,7.718E-06,3.1442E-17,-0.027669,0,0,0,0.35613,0.00074567,5.3388E-21,1.8635E-07,0.00076353,-2.4356E-20,0.00014594,0,0,0,0,0,0,package://humanoid/meshes/r_elb_1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/r_elb_1_link.STL,,Shouler_Joint-4,r_elb_1_F,r_elb_1_ax,r_elb_1_joint,revolute,0,-0.18415,0,-1.5708,0,0,r_shldr_2_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
r_elb_2_link,5.5511E-17,-0.052122,3.8005E-18,0,0,0,0.3488,0.00059507,4.3132E-20,-4.1359E-22,0.00028045,-1.3932E-20,0.00055932,0,0,0,0,0,0,package://humanoid/meshes/r_elb_2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/r_elb_2_link.STL,,lower_arm-2,r_elb_2_F,r_elb_2_ax,r_elb_2_joint,revolute,-0.00024399,-0.0015837,-0.095467,1.5708,0,0,r_elb_1_link,0,0,-1,0,0,-1.5708,-1.5708,,,,,,,,
r_wst_link,-5.5511E-17,-2.1696E-19,0.051891,0,0,0,0.41185,0.00061222,-5.6874E-21,5.8139E-20,0.00061222,-3.9234E-20,0.00024492,0,0,0,0,0,0,package://humanoid/meshes/r_wst_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/r_wst_link.STL,,wrist_joint-1,r_wst_F,r_wst_ax,r_wst_joint,revolute,0,-0.1905,0,-1.5708,0,0,r_elb_2_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
l_shldr_1_link,-7.718E-06,-1.1543E-18,-0.027669,0,0,0,0.35613,0.00074567,4.8799E-23,-1.8635E-07,0.00076353,-1.1038E-20,0.00014594,0,0,0,0,0,0,package://humanoid/meshes/l_shldr_1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/l_shldr_1_link.STL,,Shouler_Joint-2,l_shldr_1_F,l_shldr_1_ax,l_shldr_2_joint,revolute,0,0.2286,1.3655,0,0,1.5708,base_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
l_shldr_2_link,1.9151E-14,-0.084667,1.6263E-17,0,0,0,0.6963,0.0021474,7.1655E-19,8.0873E-21,0.00053267,-1.4351E-20,0.0021116,0,0,0,0,0,0,package://humanoid/meshes/l_shldr_2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/l_shldr_2_link.STL,,upper_arm-1,l_shldr_2_F,l_shldr_2_ax,l_shldr_2_joint,revolute,0.00024399,0.0015837,-0.095467,1.5708,0,0,l_shldr_1_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
l_elb_1_link,-7.718E-06,-1.6697E-17,-0.027669,0,0,0,0.35613,0.00074567,-6.7096E-22,-1.8635E-07,0.00076353,-7.5275E-21,0.00014594,0,0,0,0,0,0,package://humanoid/meshes/l_elb_1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/l_elb_1_link.STL,,Shouler_Joint-3,l_elb_1_F,l_elb_1_ax,l_elb_1_joint,revolute,0,-0.18415,0,-1.5708,0,0,l_shldr_2_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
l_elb_2_link,-2.7756E-17,-0.052122,0,0,0,0,0.3488,0.00059507,-5.2112E-20,-1.6544E-21,0.00028045,3.0486E-21,0.00055932,0,0,0,0,0,0,package://humanoid/meshes/l_elb_2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/l_elb_2_link.STL,,lower_arm-1,l_elb_2_F,l_elb_2_ax,l_elb_2_joint,revolute,0.00024399,0.0015837,-0.095467,1.5708,0,0,l_elb_1_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
l_wst_link,5.5511E-17,8.6736E-19,0.051891,0,0,0,0.41185,0.00061222,-3.8705E-21,5.4194E-20,0.00061222,3.9778E-20,0.00024492,0,0,0,0,0,0,package://humanoid/meshes/l_wst_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/l_wst_link.STL,,wrist_joint-2,l_wst_F,l_wst_ax,l_wst_joint,revolute,0,-0.1905,0,-1.5708,0,0,l_elb_2_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
r_hp_1_link,0.00024877,-0.053648,0.000127,0,0,0,0.65765,0.0012068,-1.6847E-07,-6.4984E-21,0.00074697,-3.7908E-20,0.0012307,0,0,0,0,0,0,package://humanoid/meshes/r_hp_1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/r_hp_1_link.STL,,hip_joint-2,r_hp_1_F,r_hp_1_ax,r_hp_1_joint,revolute,0,-0.1022,1.0549,1.5708,0,1.5708,base_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
r_hp_2_link,1.0766E-16,-0.16129,-2.2204E-16,0,0,0,2.3091,0.018755,2.2914E-19,-6.1207E-21,0.0028914,2.5905E-18,0.018839,0,0,0,0,0,0,package://humanoid/meshes/r_hp_2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/r_hp_2_link.STL,,hip_to_thigh-1,r_hp_2_F,r_hp_2_ax,r_hp_2_joint,revolute,0.00024399,-0.10817,0.000127,0,1.5708,0,r_hp_1_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
r_kn_link,-4.8765E-16,-0.12013,-1.1616E-14,0,0,0,1.6405,0.0082386,-3.646E-20,6.8971E-21,0.0022087,4.4528E-20,0.0082315,0,0,0,0,0,0,package://humanoid/meshes/r_kn_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/r_kn_link.STL,,lower_leg-2,r_kn_F,r_kn_ax,r_kn_joint,revolute,0,-0.31824,0,0,0,0,r_hp_2_link,0,0,-1,0,0,0,1.5708,,,,,,,,
r_ank_1_link,0,-3.9653E-06,-0.028529,0,0,0,0.79193,0.0020261,1.4945E-20,-1.3416E-19,0.0019196,-2.102E-07,0.00077447,0,0,0,0,0,0,package://humanoid/meshes/r_ank_1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/r_ank_1_link.STL,,ankle_joint-1,r_ank_1_F,r_ank_1_ax,r_ank_1_joint,revolute,0,-0.24599,0,1.5708,-1.5708,0,r_kn_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
r_ank_2_link,-0.091402,-0.087623,-2.7756E-17,0,0,0,2.8526,0.0058988,-0.0019208,-1.9762E-18,0.023453,1.9261E-19,0.024534,0,0,0,0,0,0,package://humanoid/meshes/r_ank_2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/r_ank_2_link.STL,,foot-1,r_ank_2_F,r_ank_2_ax,r_ank_2_joint,revolute,0,0.00024399,-0.095467,1.5708,0,1.5708,r_ank_1_link,0,0,-1,0,0,-0.7854,0.7854,,,,,,,,
r_str_link,0,0,-0.05324,0,0,0,0.92887,0.0021692,2.6933E-20,-2.5171E-20,0.0022717,-9.47E-21,0.0011212,0,0,0,0,0,0,package://humanoid/meshes/r_str_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/r_str_link.STL,,wheel_joint-1,r_str_F,r_str_ax,r_str_joint,revolute,-0.127,-0.14439,0,1.5708,-1.5708,0,r_ank_2_link,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
r_wl_link,0,0,-1.3878E-17,0,0,0,0.064271,2.1439E-05,-2.5021E-38,1.6141E-22,2.1439E-05,3.8564E-22,3.6458E-05,0,0,0,0,0,0,package://humanoid/meshes/r_wl_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/r_wl_link.STL,,wheel-2,r_wl_F,r_wl_ax,r_wl_joint,revolute,0,0,-0.11092,1.5708,0,1.5708,r_str_link,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
l_hp_1_link,0.00024877,-0.053648,0.000127,0,0,0,0.65765,0.0012068,-1.6847E-07,3.8204E-21,0.00074697,-2.6622E-19,0.0012307,0,0,0,0,0,0,package://humanoid/meshes/l_hp_1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/l_hp_1_link.STL,,hip_joint-1,l_hp_1_F,l_hp_1_ax,l_hp_1_joint,revolute,0,0.1022,1.0549,1.5708,0,1.5708,base_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
l_hp_2_link,-1.3553E-17,-0.16129,8.0769E-15,0,0,0,2.3091,0.018755,9.5821E-20,-1.5705E-20,0.0028914,-1.1135E-16,0.018839,0,0,0,0,0,0,package://humanoid/meshes/l_hp_2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/l_hp_2_link.STL,,hip_to_thigh-2,l_hp_2_F,l_hp_2_ax,l_hp_2_joint,revolute,0.00024399,-0.10817,0.000127,0,1.5708,0,l_hp_1_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
l_kn_link,-1.1867E-16,-0.12013,4.1633E-17,0,0,0,1.6405,0.0082386,-9.2755E-21,1.8323E-20,0.0022087,4.895E-19,0.0082315,0,0,0,0,0,0,package://humanoid/meshes/l_kn_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/l_kn_link.STL,,lower_leg-1,l_kn_F,l_kn_ax,l_kn_joint,revolute,0,-0.31824,0,0,0,0,l_hp_2_link,0,0,-1,0,0,0,1.5708,,,,,,,,
l_ank_1_link,0,3.9653E-06,-0.028529,0,0,0,0.79193,0.0020261,2.5897E-21,1.3284E-20,0.0019196,2.102E-07,0.00077447,0,0,0,0,0,0,package://humanoid/meshes/l_ank_1_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/l_ank_1_link.STL,,ankle_joint-2,l_ank_1_F,l_ank_1_ax,l_ank_1_joint,revolute,0,-0.24599,0,1.5708,-1.5708,0,l_kn_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
l_ank_2_link,-0.091402,-0.087623,-2.276E-15,0,0,0,2.8526,0.0058988,-0.0019208,2.2866E-19,0.023453,4.7738E-19,0.024534,0,0,0,0,0,0,package://humanoid/meshes/l_ank_2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/l_ank_2_link.STL,,foot-2,l_ank_2_F,l_ank_2_ax,l_ank_2_joint,revolute,0,-0.00024399,-0.095467,1.5708,0,1.5708,l_ank_1_link,0,0,1,0,0,-0.7854,0.7854,,,,,,,,
l_str_link,0,0,-0.05324,0,0,0,0.92887,0.0021692,1.0072E-20,-2.7816E-20,0.0022717,-1.2466E-20,0.0011212,0,0,0,0,0,0,package://humanoid/meshes/l_str_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/l_str_link.STL,,wheel_joint-2,l_str_F,l_str_ax,l_str_joint,revolute,-0.127,-0.14439,0,1.5708,-1.5708,0,l_ank_2_link,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
l_wl_link,-2.7756E-17,0,0,0,0,0,0.064271,2.1439E-05,-1.3576E-36,2.4451E-22,2.1439E-05,-8.9033E-22,3.6458E-05,0,0,0,0,0,0,package://humanoid/meshes/l_wl_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://humanoid/meshes/l_wl_link.STL,,wheel-1,l_wl_F,l_wl_ax,l_wl_joint,revolute,0,0,-0.11092,1.5708,0,1.5708,l_str_link,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
